Reference, Value, Footprint, Datasheet, Digi-Key
"U1","PCF8574","SMD_Packages:SO-16-W","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf",",568-1076-5-ND",""
"P1","Conn_jack_conn_board","bolay:4x2pin_50mil_header","http://sullinscorp.com/drawings/89_LPPB___2NFSP-RC,_11018.pdf",",S9007E-04-ND",""
"JP3","SJ","bolay:solder-jumper-3er","","",""
"JP2","SJ","bolay:solder-jumper-3er","","",""
"JP1","SJ","bolay:solder-jumper-3er","","",""
"P2","CONN_01X06_Taster_1","Connect:bornier6","http://www.on-shore.com/wp-content/uploads/2015/09/ed120ds.pdf",",ED2229-ND",""
"P3","CONN_01X06_Taster_2","Connect:bornier6","http://www.on-shore.com/wp-content/uploads/2015/09/ed120ds.pdf",",ED2229-ND",""
"R17","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R2","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R1","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C2","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R18","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R4","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R3","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C3","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R19","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R6","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R5","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C4","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R20","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R8","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R7","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C5","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R21","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R10","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R9","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C6","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R22","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R12","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R11","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C7","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R23","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R14","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R13","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C8","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R24","2k2","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM2.2KYCT-ND",""
"R16","100k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM100KYCT-ND",""
"R15","4k7","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM4.7YCT-ND",""
"C9","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"C1","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"U2","TLP293-4","SMD_Packages:SO-16-N","https://toshiba.semicon-storage.com/info/docget.jsp?did=15287&prodName=TLP293-4",",TLP293-4(LGBE-ND",""
"U3","TLP293-4","SMD_Packages:SO-16-N","https://toshiba.semicon-storage.com/info/docget.jsp?did=15287&prodName=TLP293-4",",TLP293-4(LGBE-ND",""
"D1","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D2","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D3","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D4","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D5","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D6","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D7","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
"D8","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND",""
